iter	Passed	Remaining
182	5596	24984
183	5623	24939
184	5653	24905
185	5682	24870
186	5719	24866
187	5755	24858
188	5785	24826
189	5813	24785
190	5841	24743
191	5873	24719
192	5898	24664
193	5926	24622
194	5960	24606
195	5990	24574
196	6017	24529
197	6046	24492
198	6078	24468
199	6109	24437
200	6140	24407
201	6169	24372
202	6198	24337
203	6224	24288
204	6252	24248
205	6278	24201
206	6310	24175
207	6339	24140
208	6366	24094
209	6393	24053
210	6431	24049
211	6471	24055
212	6504	24033
213	6533	23996
214	6563	23964
215	6592	23929
216	6625	23906
217	6650	23856
218	6678	23817
219	6708	23783
220	6737	23748
221	6767	23716
222	6795	23677
223	6825	23644
224	6853	23605
225	6881	23567
226	6908	23526
227	6941	23504
228	6975	23483
229	7005	23453
230	7032	23409
231	7060	23371
232	7087	23330
233	7116	23296
234	7150	23277
235	7181	23249
236	7209	23209
237	7236	23168
238	7265	23134
239	7293	23096
240	7321	23058
241	7350	23023
242	7381	22995
243	7408	22955
244	7438	22921
245	7472	22902
246	7504	22878
247	7533	22844
248	7564	22815
249	7592	22777
250	7621	22742
251	7649	22704
252	7684	22688
253	7714	22657
254	7746	22631
255	7775	22596
256	7806	22569
257	7835	22535
258	7867	22508
259	7894	22469
260	7921	22429
261	7949	22391
262	7982	22369
263	8010	22333
264	8036	22290
265	8065	22255
266	8097	22231
267	8127	22198
268	8155	22162
269	8185	22130
270	8217	22104
271	8251	22084
272	8280	22050
273	8309	22018
274	8338	21982
275	8367	21948
276	8399	21924
277	8430	21894
278	8456	21853
279	8485	21819
280	8514	21787
281	8542	21749
282	8569	21712
283	8605	21694
284	8640	21677
285	8677	21664
286	8714	21649
287	8745	21620
288	8778	21596
289	8822	21599
290	8852	21568
291	8882	21537
292	8911	21503
293	8937	21461
294	8968	21433
295	8995	21395
296	9019	21349
297	9040	21296
298	9059	21239
299	9079	21185
300	9096	21125
301	9115	21068
302	9135	21014
303	9152	20954
304	9167	20890
305	9183	20827
306	9199	20765
307	9215	20704
308	9231	20643
309	9247	20582
310	9263	20522
311	9279	20461
312	9296	20403
313	9310	20340
314	9326	20281
315	9341	20220
316	9356	20159
317	9372	20100
318	9388	20042
319	9402	19981
320	9418	19921
321	9439	19875
322	9478	19866
323	9501	19825
324	9518	19769
325	9535	19713
326	9551	19658
327	9567	19601
328	9584	19546
329	9599	19490
330	9616	19437
331	9632	19381
332	9651	19331
333	9674	19290
334	9691	19238
335	9707	19184
336	9723	19130
337	9741	19078
338	9758	19027
339	9774	18974
340	9791	18923
341	9808	18870
342	9823	18816
343	9840	18764
344	9854	18710
345	9869	18654
346	9883	18598
347	9897	18542
348	9912	18489
349	9926	18434
350	9942	18383
351	9958	18333
352	9975	18283
353	10001	18250
354	10022	18210
355	10041	18165
356	10061	18121
357	10083	18082
358	10121	18072
359	10165	18071
360	10217	18085
361	10262	18087
362	10298	18071
363	10332	18053
364	10363	18029
365	10391	17999
366	10421	17974
367	10453	17953
368	10486	17931
369	10518	17909
370	10549	17886
371	10581	17862
372	10610	17836
373	10641	17811
374	10673	17789
375	10702	17762
376	10735	17740
377	10764	17713
378	10800	17696
379	10833	17676
380	10871	17663
381	10906	17644
382	10936	17618
383	10967	17593
384	11003	17576
385	11035	17553
386	11066	17529
387	11099	17506
388	11130	17482
389	11158	17452
390	11185	17422
391	11213	17392
392	11240	17360
393	11267	17330
394	11298	17304
395	11330	17281
396	11360	17255
397	11389	17227
398	11420	17201
399	11450	17176
400	11479	17147
401	11506	17117
402	11548	17107
403	11581	17085
404	11613	17061
405	11638	17028
406	11663	16994
407	11683	16952
408	11700	16906
409	11716	16859
410	11731	16812
411	11746	16764
412	11761	16717
413	11776	16669
414	11790	16620
415	11806	16574
416	11822	16528
417	11837	16482
418	11855	16438
419	11869	16391
420	11883	16343
421	11900	16300
422	11916	16255
423	11930	16207
424	11946	16162
425	11961	16116
426	11977	16073
427	11992	16027
428	12007	15982
429	12024	15939
430	12038	15893
431	12053	15847
432	12069	15804
433	12083	15758
434	12098	15713
435	12112	15667
436	12126	15623
437	12141	15578
438	12157	15536
439	12177	15498
440	12194	15457
441	12211	15416
442	12228	15374
443	12244	15333
444	12258	15288
445	12272	15244
446	12286	15200
447	12300	15155
448	12312	15109
449	12326	15065
450	12340	15021
451	12355	14979
452	12369	14936
453	12383	14892
454	12397	14849
455	12409	14804
456	12423	14761
457	12437	14718
458	12451	14676
459	12467	14635
460	12480	14592
461	12495	14551
462	12509	14508
463	12524	14467
464	12537	14425
465	12551	14383
466	12565	14341
467	12580	14301
468	12597	14262
469	12613	14223
470	12627	14182
471	12641	14141
472	12656	14101
473	12671	14061
474	12685	14021
475	12701	13981
476	12715	13942
477	12730	13902
478	12745	13862
479	12758	13821
480	12772	13781
481	12787	13742
482	12803	13704
483	12818	13665
484	12831	13624
485	12845	13585
486	12859	13546
487	12872	13505
488	12887	13467
489	12902	13428
490	12915	13388
491	12929	13349
492	12943	13311
493	12957	13272
494	12971	13233
495	12988	13197
496	13005	13162
497	13020	13125
498	13035	13087
499	13051	13051
500	13067	13015
501	13084	12979
502	13098	12942
503	13114	12906
504	13131	12871
505	13149	12837
506	13167	12803
507	13182	12767
508	13199	12732
509	13215	12697
510	13231	12662
511	13246	12625
512	13261	12589
513	13274	12551
514	13290	12515
515	13303	12478
516	13317	12441
517	13330	12404
518	13344	12367
519	13358	12331
520	13372	12294
521	13384	12256
522	13398	12220
523	13412	12184
524	13427	12148
525	13440	12111
526	13454	12075
527	13468	12040
528	13483	12004
529	13497	11969
530	13512	11934
531	13538	11909
532	13563	11884
533	13580	11851
534	13600	11820
535	13618	11789
536	13663	11780
537	13706	11770
538	13735	11747
539	13765	11726
540	13794	11703
541	13826	11683
542	13856	11662
543	13888	11641
544	13922	11623
545	13957	11605
546	13989	11585
547	14017	11561
548	14046	11539
549	14074	11515
550	14103	11492
551	14130	11468
552	14157	11443
553	14186	11420
554	14214	11396
555	14245	11375
556	14273	11351
557	14301	11328
558	14334	11308
559	14363	11285
560	14391	11261
561	14422	11240
562	14450	11216
563	14477	11191
564	14507	11169
565	14535	11145
566	14566	11123
567	14594	11099
568	14624	11077
569	14655	11055
570	14682	11031
571	14709	11006
572	14738	10983
573	14768	10960
574	14798	10938
575	14831	10917
576	14857	10891
577	14886	10869
578	14918	10847
579	14944	10821
580	14978	10801
581	15010	10780
582	15039	10757
583	15065	10731
584	15086	10702
585	15105	10671
586	15122	10639
587	15137	10606
588	15152	10573
589	15168	10540
590	15183	10507
591	15199	10475
592	15213	10441
593	15229	10409
594	15244	10376
595	15260	10344
596	15276	10312
597	15293	10281
598	15310	10249
599	15325	10216
600	15340	10184
601	15354	10151
602	15369	10118
603	15385	10086
604	15400	10055
605	15416	10023
606	15430	9990
607	15445	9958
608	15459	9925
609	15473	9892
610	15488	9861
611	15503	9828
612	15517	9796
613	15532	9764
614	15547	9733
615	15566	9703
616	15584	9674
617	15603	9644
618	15619	9614
619	15635	9583
620	15650	9551
621	15665	9519
622	15680	9488
623	15695	9457
624	15712	9427
625	15727	9396
626	15741	9364
627	15755	9333
628	15769	9301
629	15784	9270
630	15799	9239
631	15814	9208
632	15829	9177
633	15843	9146
634	15857	9115
635	15870	9083
636	15884	9052
637	15897	9020
638	15911	8989
639	15927	8958
640	15940	8927
641	15953	8896
642	15966	8864
643	15981	8834
644	15997	8804
645	16011	8774
646	16024	8743
647	16039	8712
648	16053	8682
649	16067	8651
650	16081	8621
651	16094	8590
652	16109	8560
653	16123	8529
654	16137	8500
655	16153	8470
656	16167	8440
657	16180	8410
658	16194	8379
659	16207	8349
660	16221	8319
661	16236	8290
662	16251	8260
663	16264	8230
664	16280	8201
665	16293	8171
666	16306	8141
667	16321	8112
668	16335	8082
669	16349	8052
670	16363	8023
671	16376	7993
672	16390	7963
673	16404	7934
674	16418	7905
675	16431	7875
676	16444	7845
677	16458	7816
678	16471	7787
679	16485	7758
680	16500	7729
681	16513	7699
682	16527	7671
683	16543	7642
684	16557	7614
685	16571	7585
686	16587	7557
687	16608	7531
688	16629	7505
689	16666	7487
690	16684	7460
691	16706	7435
692	16722	7407
693	16736	7379
694	16749	7350
695	16764	7322
696	16778	7293
697	16793	7265
698	16807	7237
699	16821	7209
700	16836	7181
701	16851	7153
702	16867	7125
703	16883	7098
704	16897	7070
705	16911	7042
706	16923	7013
707	16938	6986
708	16953	6958
709	16967	6930
710	16982	6902
711	16996	6874
712	17009	6846
713	17023	6818
714	17039	6791
715	17054	6764
716	17068	6736
717	17082	6709
718	17096	6681
719	17110	6654
720	17124	6626
721	17139	6599
722	17154	6572
723	17169	6545
724	17184	6518
725	17197	6490
726	17211	6463
727	17226	6436
728	17240	6409
729	17254	6381
730	17269	6355
731	17283	6327
732	17297	6300
733	17310	6273
734	17324	6246
735	17338	6219
736	17353	6192
737	17366	6165
738	17380	6138
739	17396	6112
740	17410	6085
741	17423	6058
742	17437	6031
743	17452	6005
744	17467	5978
745	17483	5952
746	17499	5926
747	17515	5900
748	17531	5874
749	17546	5848
750	17561	5822
751	17576	5796
752	17591	5770
753	17606	5744
754	17620	5717
755	17634	5691
756	17650	5665
757	17664	5639
758	17679	5613
759	17694	5587
760	17709	5561
761	17723	5535
762	17736	5509
763	17750	5483
764	17766	5457
765	17779	5431
766	17793	5405
767	17807	5379
768	17822	5353
769	17837	5327
770	17849	5301
771	17864	5276
772	17879	5250
773	17894	5224
774	17909	5199
775	17924	5173
776	17937	5148
777	17950	5122
778	17965	5096
779	17980	5071
780	17994	5045
781	18009	5020
782	18024	4995
783	18039	4969
784	18053	4944
785	18068	4919
786	18082	4894
787	18096	4868
788	18111	4843
789	18125	4818
790	18140	4793
791	18155	4768
792	18169	4742
793	18182	4717
794	18196	4692
795	18210	4666
796	18225	4642
797	18240	4617
798	18255	4592
799	18268	4567
800	18283	4542
801	18299	4517
802	18314	4492
803	18327	4467
804	18341	4442
805	18355	4418
806	18369	4393
807	18383	4368
808	18397	4343
809	18412	4318
810	18427	4294
811	18441	4269
812	18456	4245
813	18470	4220
814	18484	4195
815	18498	4171
816	18511	4146
817	18526	4121
818	18540	4097
819	18554	4072
820	18567	4048
821	18583	4024
822	18597	3999
823	18611	3975
824	18625	3950
825	18639	3926
826	18653	3902
827	18669	3878
828	18683	3853
829	18697	3829
830	18711	3805
831	18726	3781
832	18739	3756
833	18753	3732
834	18769	3708
835	18783	3684
836	18797	3660
837	18810	3636
838	18824	3612
839	18837	3588
840	18851	3564
841	18866	3540
842	18880	3516
843	18894	3492
844	18907	3468
845	18921	3444
846	18936	3420
847	18950	3396
848	18965	3373
849	18979	3349
850	18992	3325
851	19006	3301
852	19021	3278
853	19035	3254
854	19049	3230
855	19063	3206
856	19077	3183
857	19091	3159
858	19104	3135
859	19118	3112
860	19132	3088
861	19145	3065
862	19158	3041
863	19171	3017
864	19186	2994
865	19201	2971
866	19215	2947
867	19228	2924
868	19242	2900
869	19255	2877
870	19268	2853
871	19282	2830
872	19297	2807
873	19311	2784
874	19324	2760
875	19338	2737
876	19352	2714
877	19367	2691
878	19382	2668
879	19396	2644
880	19411	2622
881	19424	2598
882	19438	2575
883	19452	2552
884	19466	2529
885	19480	2506
886	19496	2483
887	19510	2460
888	19523	2437
889	19535	2414
890	19550	2391
891	19565	2368
892	19581	2346
893	19594	2323
894	19610	2300
895	19624	2277
896	19639	2255
897	19655	2232
898	19671	2209
899	19686	2187
900	19701	2164
901	19718	2142
902	19733	2119
903	19749	2097
904	19764	2074
905	19777	2052
906	19792	2029
907	19807	2006
908	19821	1984
909	19834	1961
910	19848	1939
911	19863	1916
912	19878	1894
913	19893	1871
914	19906	1849
915	19920	1826
916	19935	1804
917	19949	1781
918	19962	1759
919	19975	1737
920	19991	1714
921	20005	1692
922	20019	1670
923	20031	1647
924	20046	1625
925	20058	1602
926	20072	1580
927	20086	1558
928	20099	1536
929	20112	1513
930	20127	1491
931	20142	1469
932	20157	1447
933	20171	1425
934	20185	1403
935	20200	1381
936	20213	1359
937	20227	1336
938	20241	1314
939	20256	1292
940	20270	1270
941	20283	1248
942	20297	1226
943	20312	1205
944	20328	1183
945	20344	1161
946	20361	1139
947	20377	1117
948	20392	1095
949	20411	1074
950	20428	1052
951	20443	1030
952	20458	1008
953	20473	987
954	20486	965
955	20500	943
956	20514	921
957	20528	899
958	20542	878
959	20557	856
960	20572	834
961	20586	813
962	20600	791
963	20614	769
964	20629	748
965	20642	726
966	20657	704
967	20671	683
968	20685	661
969	20701	640
970	20717	618
971	20732	597
972	20748	575
973	20763	554
974	20777	532
975	20791	511
976	20805	489
977	20819	468
978	20833	446
979	20849	425
980	20864	404
981	20877	382
982	20892	361
983	20909	339
984	20922	318
985	20937	297
986	20951	275
987	20966	254
988	20980	233
989	20994	212
990	21007	190
991	21021	169
992	21035	148
993	21050	127
994	21065	105
995	21080	84
996	21094	63
997	21108	42
998	21121	21
999	21136	0
