iter	RMSE
0	0.1515880864
1	0.1385273283
2	0.1270155516
3	0.1169573527
4	0.1081774609
5	0.1005640689
6	0.09372157339
7	0.08787052534
8	0.08287670205
9	0.07866093915
10	0.07503598856
11	0.07197525155
12	0.06939339746
13	0.06726782956
14	0.06545658908
15	0.06397649612
16	0.06271745216
17	0.06167847855
18	0.06082944356
19	0.06011735764
20	0.0595512533
21	0.05906444113
22	0.05867283515
23	0.05835265721
24	0.05807977259
25	0.05785895101
26	0.05767872236
27	0.05753297409
28	0.05740542938
29	0.05730388242
30	0.05721494
31	0.05714332705
32	0.05707634179
33	0.05701851086
34	0.05697003382
35	0.05692650578
36	0.05689298765
37	0.05685865708
38	0.05683348739
39	0.05679949714
40	0.05677750237
41	0.05675525155
42	0.05673582913
43	0.05672086687
44	0.0566970605
45	0.05667883148
46	0.05666415678
47	0.05664976782
48	0.05664042881
49	0.05663062819
50	0.05661633931
51	0.05660818972
52	0.05659499622
53	0.05658485461
54	0.05657725127
55	0.05656518267
56	0.05656018208
57	0.05655291732
58	0.05654427129
59	0.05653964206
60	0.05653211713
61	0.05652403245
62	0.05651558333
63	0.05650998353
64	0.05650630543
65	0.0564964926
66	0.05649194604
67	0.05648296106
68	0.05647875592
69	0.05647101158
70	0.05646673381
71	0.05645664062
72	0.05645075136
73	0.05644620621
74	0.05644264205
75	0.05643970319
76	0.05643440723
77	0.0564296647
78	0.05642664532
79	0.0564231869
80	0.05642164448
81	0.05641575418
82	0.05641037728
83	0.05640844669
84	0.05640507828
85	0.05639993902
86	0.05639540507
87	0.05639135512
88	0.05638870691
89	0.05638466784
90	0.05637979868
91	0.05637816041
92	0.05637449634
93	0.05637109162
94	0.05636840339
95	0.05636485147
96	0.05636305537
97	0.05636055528
98	0.05635814938
99	0.05635515562
100	0.05635346397
101	0.05635128073
102	0.05634672013
103	0.05634318965
104	0.05633877318
105	0.05633489276
106	0.05633251989
107	0.05632921754
108	0.05632686322
109	0.0563251841
110	0.05632272408
111	0.05631956158
112	0.05631734662
113	0.0563131022
114	0.05631112761
115	0.05630795462
116	0.05630457733
117	0.05630113978
118	0.05629800627
119	0.05629605688
120	0.05629415782
121	0.05629169284
122	0.05628908352
123	0.0562860497
124	0.05628407215
125	0.05628175172
126	0.05627932289
127	0.05627702502
128	0.05627473623
129	0.05627313069
130	0.05627113761
131	0.05626766115
132	0.05626393271
133	0.05626104263
134	0.05625766225
135	0.05625317846
136	0.05625139486
137	0.05624917327
138	0.05624701047
139	0.05624530499
140	0.05624385157
141	0.05624112895
142	0.05623947887
143	0.05623704871
144	0.05623607507
145	0.05623352949
146	0.05623122471
147	0.05622961954
148	0.05622812364
149	0.05622659622
150	0.056224406
151	0.05622306574
152	0.05621862855
153	0.05621526495
154	0.0562124131
155	0.05621081382
156	0.05620927955
157	0.0562085057
158	0.05620497183
159	0.05620372952
160	0.05620278477
161	0.05619986938
162	0.05619869128
163	0.05619711635
164	0.05619589679
165	0.05619474046
166	0.05619207056
167	0.05618999247
168	0.05618838018
169	0.05618641953
170	0.05618542892
171	0.05618318545
172	0.05618164301
173	0.05617998287
174	0.05617855383
175	0.0561767728
176	0.0561752343
177	0.05617322408
178	0.05617133636
179	0.05616948038
180	0.05616800886
181	0.05616698017
182	0.05616442933
183	0.05616338774
184	0.05616245217
185	0.05615938997
186	0.05615818173
187	0.05615699553
188	0.05615485087
189	0.05615303373
190	0.05615180345
191	0.05614982263
192	0.05614904281
193	0.05614680873
194	0.05614601299
195	0.05614433927
196	0.05614279324
197	0.0561416905
198	0.05614058777
199	0.05613941734
200	0.05613783875
201	0.05613649196
202	0.05613541018
203	0.05613436664
204	0.05613272021
205	0.05613122241
206	0.05613023533
207	0.05612931167
208	0.0561271163
209	0.05612509441
210	0.05612409332
211	0.0561223605
212	0.05612020912
213	0.05611898359
214	0.05611688927
215	0.05611447252
216	0.05611289778
217	0.05611229215
218	0.05611057172
219	0.05610956256
220	0.05610869607
221	0.05610661802
222	0.05610563274
223	0.05610402152
224	0.05610189291
225	0.05610070436
226	0.05609998729
227	0.05609827689
228	0.05609743945
229	0.0560953602
230	0.05609264655
231	0.05609157275
232	0.05609020475
233	0.05608921161
234	0.05608764043
235	0.05608710407
236	0.05608642861
237	0.05608581627
238	0.05608486542
239	0.05608338995
240	0.05608202204
241	0.05608065953
242	0.05607945875
243	0.05607854049
244	0.05607737026
245	0.05607551975
246	0.05607451659
247	0.05607366112
248	0.05607246561
249	0.05607126138
250	0.05606993128
251	0.05606808974
252	0.05606751909
253	0.05606664758
254	0.0560659103
255	0.05606456447
256	0.05606261906
257	0.05606164241
258	0.05606055904
259	0.05606001215
260	0.05605933091
261	0.05605589306
262	0.05605481153
263	0.05605398481
264	0.05605329195
265	0.05605253909
266	0.05605151803
267	0.05605089813
268	0.05605009007
269	0.05604857184
270	0.05604732439
271	0.05604606062
272	0.0560455249
273	0.05604322664
274	0.05604254488
275	0.05604159156
276	0.0560408467
277	0.05603986234
278	0.05603933795
279	0.05603801939
280	0.0560361423
281	0.05603541818
282	0.05603475902
283	0.05603388327
284	0.05603286025
285	0.05603083357
286	0.05602972549
287	0.05602786507
288	0.05602674517
289	0.05602571275
290	0.0560248759
291	0.05602374266
292	0.05602246804
293	0.05601959586
294	0.05601795627
295	0.05601725963
296	0.05601430555
297	0.05601244976
298	0.05601167262
299	0.0560104797
300	0.05600932783
301	0.05600784985
302	0.05600691452
303	0.05600634133
304	0.05600447766
305	0.05600233578
306	0.0560013623
307	0.05600071613
308	0.05599930981
309	0.05599828451
310	0.05599707142
311	0.05599618854
312	0.05599444289
313	0.05599384916
314	0.0559928111
315	0.05599207859
316	0.05599090526
317	0.05598868907
318	0.05598760129
319	0.05598683727
320	0.05598600007
321	0.05598555899
322	0.05598512879
323	0.05598428395
324	0.05598359903
325	0.0559827647
326	0.05598159479
327	0.05598069496
328	0.0559798513
329	0.05597893894
330	0.05597786648
331	0.05597725196
332	0.05597662314
333	0.05597492482
334	0.05597433071
335	0.0559738115
336	0.05597333296
337	0.05597247115
338	0.05597112713
339	0.05597040688
340	0.05596951388
341	0.05596870992
342	0.05596767449
343	0.0559666784
344	0.05596570847
345	0.0559647152
346	0.05596381411
347	0.05596341
348	0.05596230637
349	0.05596168034
350	0.05596137311
351	0.05596021333
352	0.05595944134
353	0.05595886399
354	0.05595823681
355	0.0559571473
356	0.05595562429
357	0.05595465413
358	0.05595368967
359	0.05595080777
360	0.0559494682
361	0.05594870457
362	0.05594781823
363	0.05594525779
364	0.05594420662
365	0.05594337464
366	0.05594235687
367	0.05594159764
368	0.05594047998
369	0.05593946769
370	0.05593839069
371	0.05593786215
372	0.05593707356
373	0.0559362394
374	0.05593552942
375	0.05593498819
376	0.05593435337
377	0.05593356173
378	0.05593275066
379	0.05593188683
380	0.0559311107
381	0.05593026847
382	0.05592973388
383	0.05592927641
384	0.05592844478
385	0.05592754206
386	0.05592589507
387	0.05592523595
388	0.05592453352
389	0.05592369628
390	0.05592325633
391	0.0559225886
392	0.05592152437
393	0.05592086501
394	0.05592002517
395	0.05591889574
396	0.05591790511
397	0.05591565561
398	0.05591487156
399	0.05591426245
400	0.05591201826
401	0.0559111887
402	0.05591065345
403	0.05590992372
404	0.05590925568
405	0.05590868538
406	0.05590794131
407	0.05590728284
408	0.05590676894
409	0.05590615775
410	0.05590562126
411	0.05590475235
412	0.05590277898
413	0.05590193693
414	0.05590110194
415	0.0559004428
416	0.0558989193
417	0.05589829161
418	0.05589741973
419	0.05589686096
420	0.05589634324
421	0.05589590667
422	0.05589528407
423	0.05589463483
424	0.0558939937
425	0.05589329043
426	0.05589238931
427	0.05589141678
428	0.05589066385
429	0.0558893106
430	0.05588868065
431	0.05588738922
432	0.05588652799
